iter	Passed	Remaining
0	181	180831
1	183	91679
2	186	61866
3	188	46929
4	191	38024
5	194	32152
6	197	27948
7	199	24757
8	202	22270
9	205	20319
10	208	18776
11	211	17440
12	214	16310
13	217	15348
14	220	14505
15	224	13810
16	227	13172
17	230	12590
18	234	12097
19	238	11665
20	240	11224
21	243	10835
22	246	10488
23	250	10186
24	253	9887
25	257	9651
26	261	9408
27	265	9201
28	267	8962
29	270	8739
30	275	8611
31	279	8441
32	281	8250
33	283	8064
34	286	7888
35	291	7812
36	304	7930
37	307	7774
38	318	7839
39	321	7712
40	324	7590
41	334	7620
42	337	7505
43	340	7399
44	344	7301
45	347	7200
46	351	7132
47	354	7034
48	357	6946
49	360	6857
50	368	6853
51	371	6767
52	374	6690
53	377	6621
54	380	6543
55	383	6458
56	397	6583
57	401	6513
58	404	6454
59	408	6393
60	410	6324
61	413	6259
62	417	6215
63	420	6152
64	423	6087
65	425	6025
66	428	5964
67	434	5949
68	436	5888
69	438	5829
70	441	5770
71	444	5723
72	488	6199
73	491	6145
74	493	6089
75	496	6041
76	499	5991
77	502	5939
78	505	5895
79	509	5857
80	512	5811
81	514	5765
82	530	5862
83	533	5815
84	536	5772
85	538	5726
86	542	5688
87	545	5651
88	549	5628
89	554	5605
90	557	5570
91	560	5533
92	584	5698
93	586	5655
94	589	5611
95	591	5568
96	593	5525
97	595	5484
98	616	5613
99	620	5580
100	622	5541
101	625	5504
102	627	5467
103	631	5436
104	633	5400
105	654	5522
106	658	5493
107	663	5480
108	667	5456
109	698	5650
110	719	5765
111	725	5751
112	731	5738
113	735	5712
114	744	5728
115	747	5696
116	750	5664
117	753	5631
118	756	5599
119	761	5583
120	764	5551
121	766	5517
122	769	5484
123	773	5461
124	781	5472
125	795	5520
126	798	5485
127	800	5451
128	802	5416
129	804	5381
130	806	5351
131	808	5317
132	812	5298
133	815	5268
134	818	5244
135	822	5226
136	826	5204
137	833	5203
138	837	5189
139	840	5165
140	844	5141
141	846	5117
142	863	5175
143	866	5149
144	875	5164
145	878	5136
146	880	5109
147	882	5082
148	895	5116
149	898	5092
150	904	5085
151	909	5073
152	923	5111
153	926	5088
154	928	5064
155	932	5043
156	934	5020
157	937	4995
158	954	5048
159	957	5026
160	960	5005
161	964	4987
162	967	4968
163	971	4953
164	975	4938
165	979	4922
166	992	4950
167	996	4933
168	999	4916
169	1002	4894
170	1005	4876
171	1016	4893
172	1037	4958
173	1039	4936
174	1042	4916
175	1046	4899
176	1073	4993
177	1077	4973
178	1079	4950
179	1081	4928
180	1084	4906
181	1086	4884
182	1128	5037
183	1135	5035
184	1143	5035
185	1146	5018
186	1149	4999
187	1152	4979
188	1155	4959
189	1193	5088
190	1195	5064
191	1197	5040
192	1199	5017
193	1201	4993
194	1203	4969
195	1206	4948
196	1236	5038
197	1238	5017
198	1241	4996
199	1243	4975
200	1246	4953
201	1248	4932
202	1281	5033
203	1288	5026
204	1291	5007
205	1294	4988
206	1297	4969
207	1328	5058
208	1332	5041
209	1336	5026
210	1339	5009
211	1366	5080
212	1369	5059
213	1371	5037
214	1373	5016
215	1376	4994
216	1378	4972
217	1380	4951
218	1417	5055
219	1420	5037
220	1424	5019
221	1427	5001
222	1461	5092
223	1465	5075
224	1467	5055
225	1470	5037
226	1473	5018
227	1477	5002
228	1481	4986
229	1483	4967
230	1487	4950
231	1490	4935
232	1495	4922
233	1498	4906
234	1501	4888
235	1504	4870
236	1507	4852
237	1513	4845
238	1516	4827
239	1518	4809
240	1521	4792
241	1524	4773
242	1528	4760
243	1530	4742
244	1533	4724
245	1535	4707
246	1538	4690
247	1542	4678
248	1545	4662
249	1549	4647
250	1552	4632
251	1555	4617
252	1575	4652
253	1578	4636
254	1581	4620
255	1585	4609
256	1588	4593
257	1592	4579
258	1597	4569
259	1599	4553
260	1602	4537
261	1607	4527
262	1609	4510
263	1624	4529
264	1627	4512
265	1629	4496
266	1632	4481
267	1637	4471
268	1655	4499
269	1683	4550
270	1687	4538
271	1691	4526
272	1695	4516
273	1707	4523
274	1710	4510
275	1715	4499
276	1718	4484
277	1721	4469
278	1728	4467
279	1731	4452
280	1734	4438
281	1736	4422
282	1739	4406
283	1741	4391
284	1750	4391
285	1752	4375
286	1754	4359
287	1757	4346
288	1760	4330
289	1762	4314
290	1764	4298
291	1788	4336
292	1791	4322
293	1794	4308
294	1796	4294
295	1799	4279
296	1811	4286
297	1813	4272
298	1816	4257
299	1819	4245
300	1822	4231
301	1826	4220
302	1832	4216
303	1838	4209
304	1842	4197
305	1845	4186
306	1856	4191
307	1860	4180
308	1864	4168
309	1866	4155
310	1872	4148
311	1875	4134
312	1877	4121
313	1880	4108
314	1884	4097
315	1886	4083
316	1889	4071
317	1892	4058
318	1894	4045
319	1897	4031
320	1899	4017
321	1901	4003
322	1904	3991
323	1907	3978
324	1909	3965
325	1911	3951
326	1913	3938
327	1915	3925
328	1919	3914
329	1922	3903
330	1926	3893
331	1929	3882
332	1932	3870
333	1935	3859
334	1939	3849
335	1943	3840
336	1947	3830
337	1951	3822
338	1956	3813
339	1960	3804
340	1963	3794
341	1967	3785
342	1971	3776
343	1975	3766
344	1977	3755
345	1980	3744
346	1983	3733
347	1987	3722
348	1990	3713
349	1993	3702
350	1996	3691
351	1999	3680
352	2002	3670
353	2005	3659
354	2008	3649
355	2011	3638
356	2014	3628
357	2017	3618
358	2020	3607
359	2022	3596
360	2025	3584
361	2027	3573
362	2030	3562
363	2032	3551
364	2035	3541
365	2037	3529
366	2040	3518
367	2042	3507
368	2044	3496
369	2047	3486
370	2049	3474
371	2051	3463
372	2053	3452
373	2057	3443
374	2060	3434
375	2065	3428
376	2069	3419
377	2073	3411
378	2078	3406
379	2082	3398
380	2086	3389
381	2089	3380
382	2092	3370
383	2095	3361
384	2098	3351
385	2100	3341
386	2103	3331
387	2105	3321
388	2108	3311
389	2110	3301
390	2112	3291
391	2117	3283
392	2121	3276
393	2123	3266
394	2126	3256
395	2128	3246
396	2130	3236
397	2132	3226
398	2135	3215
399	2137	3205
400	2140	3197
401	2144	3189
402	2149	3184
403	2155	3179
404	2160	3174
405	2164	3167
406	2168	3160
407	2172	3152
408	2175	3144
409	2180	3138
410	2184	3131
411	2187	3122
412	2190	3113
413	2194	3105
414	2198	3098
